"Response_ID","Date_submitted","Last_page","Start_language","Date_started","Date_last_action","IP_address","Referrer_URL","Which_part_of_the_NHS_do_you_mainly_work_in?","Which_part_of_the_NHS_do_you_mainly_work_in?_[Other]","What_is_your_main_job/role_within_the_NHS?","What_is_your_main_job/role_within_the_NHS?_[Other]","Can_you_access_WiFi_in_your_place_of_NHS_work?","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_can_connect_to_WiFi_with_my_own_device_(BYOD)]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_can_connect_to_WiFi_with_a_work-provided_device]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_requires_login_on_a_web_page_after_device_connects_to_WiFi_network]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_have_access_to_EduRoam,_the_academic_WiFi_network]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_is_provided_by_a_commercial_service_(WiFispark,_BT_OpenZone,_The_Cloud_etc)]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_access_is_free]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_access_works_in_most_areas_of_my_workplace_that_I_need_it_to.]","Please_provide_some_further_information:_[WiFi_access_is_only_for_work_devices_and_I_haven't_been_provided_with_one]","Please_provide_some_further_information:_[WiFi_isn't_required_-_internet_and_clinical_record_access_via_Desktop_PCs_is_sufficient]","Please_provide_some_further_information:_[There_are_no_WiFi_networks_at_all]","Please_provide_some_further_information:_[There_is_a_good_mobile_data_signal_(ie_3G,_4G)_in_my_place_of_work]","Please_provide_some_further_information:_[Other]","Do_you_think_access,_or_lack_of_access,_to_WiFi_during_your_NHS_work_affects_the_care_you_can_provide_for_your_patients?","Do_you_think_access,_or_lack_of_access,_to_WiFi_during_your_NHS_work_affects_the_care_you_can_provide_for_your_patients?_-_comment","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Medical_knowledge_resources]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Personal_email]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Trust_Intranet_access]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Work_email/NHSMail]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Mobile_electronic_medical_record_access]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Order_tests_for_patients]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Getting_results_of_patients'_tests]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Patients'_demographic_details_&_location_tracking]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Social_Media/Social_Networking]","Which_of_the_following_best_describes_Patient/Visitor_access_to_WiFi_at_your_place_of_NHS_work:","Which_of_the_following_best_describes_Patient/Visitor_access_to_WiFi_at_your_place_of_NHS_work:_[Other]","OPTIONAL:_What_is_the_postcode_of_the_NHS_organisation_at_which_you_do_most_of_your_work?","OPTIONAL:_do_you_have_any_comments_on_WiFi_access_for_staff_or_patients_in_the_NHS?","Total_time","Group_time:_WiFi_in_your_Workplace","Question_time:_NHSSECTOR","Question_time:_JOBROLE","Question_time:_YESNOWIFI","Question_time:_YESWIFI","Question_time:_NOWIFI","Question_time:_CAREQUALITY","Question_time:_DOWITHWIFI","Question_time:_Q0009","Question_time:_POSTCODE","Question_time:_COMMENTS"
"563","2014-09-19 08:24:16","1","en","2014-09-19 08:22:14","2014-09-19 08:24:16","194.176.105.150","","Secondary Care / Hospital","","Manager/Executive","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","Access to WiFi  would improve the care I provide","","I can do this already","I don't need to do this","I can do this already","I can do this already","I want to be able to do this","I don't need to do this","I can do this already","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","CM1 7ET","","122.68","","","","","","","","","","",""
"1132","2014-09-23 14:22:19","1","en","2014-09-23 14:20:34","2014-09-23 14:22:19","194.176.105.147","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Mental Health","","Manager/Executive","","Yes","Yes","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I don't need to do this","I can do this already","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","WiFi for patients and visitors is free without registration","","CB21 5EZ","","104.74","","","","","","","","","","",""
"1182","2014-09-24 15:47:38","1","en","2014-09-24 15:45:44","2014-09-24 15:47:38","194.176.105.132","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Primary Care / GP","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't know","","L17 0BY","","113.11","","","","","","","","","","",""
"1127","2014-09-23 12:37:24","1","en","2014-09-23 12:32:35","2014-09-23 12:37:23","195.194.4.65","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Other","Library manager","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","","I don't need to do this","I don't need to do this","I want to be able to do this","I don't know","","WC1E 6EB","","285","","","","","","","","","","",""
"579","2014-09-19 08:36:43","1","en","2014-09-19 08:34:43","2014-09-19 08:36:43","194.176.105.138","","Secondary Care / Hospital","","Nurse","","Yes","No","Yes","No","No","No","No","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I can do this already","I can do this already","I can do this already","I can do this already","No WiFi for patients or visitors","","HU3 2JZ","","120.22","","","","","","","","","","",""
"582","2014-09-19 08:46:54","1","en","2014-09-19 08:41:17","2014-09-19 08:46:54","194.176.105.138","","Secondary Care / Hospital","","Nurse","","Yes","No","Yes","No","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","Available in some areas and not others, complete buildings don't have any WiFi. In others it depends where you are at the time. If I could record things as they happen it would be helpful and reduce clerical time.","I can do this already","I want to be able to do this","I can do this already","I can do this already","I don't need to do this","I can do this already","I can do this already","I can do this already","I can do this already","No WiFi for patients or visitors","","","","337.5","","","","","","","","","","",""
"586","2014-09-19 08:45:34","1","en","2014-09-19 08:43:12","2014-09-19 08:45:34","194.176.105.150","","Mental Health","","Doctor","","Yes","No","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi would have no effect","it is very helpful to have wifi access although in general I do not think it affects the care I provide directly. Indirectly it is of benefit in that I can work much more efficiently and wihtout wasting time.","I can do this already","I don't need to do this","I can do this already","I can do this already","I can do this already","I want to be able to do this","I can do this already","I can do this already","I don't need to do this","No WiFi for patients or visitors","","b9 5pu","","142.69","","","","","","","","","","",""
"587","2014-09-19 08:51:45","1","en","2014-09-19 08:47:26","2014-09-19 08:51:44","194.176.105.150","","Other","Coporate Services","Manager/Executive","","Yes","Yes","Yes","Yes","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","WiFi for patients and visitors is free with registration","","dh1 5tw","","258.41","","","","","","","","","","",""
"1126","2014-09-23 12:18:07","1","en","2014-09-23 11:41:49","2014-09-23 12:18:06","194.176.105.138","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Mental Health","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","No mobile signal or 2G at hospital site","Access to WiFi  would improve the care I provide","Wifi and the ability to use smart mobile devices would greatly improve the efficiency of the way that I can complete the tasks I have in my role. The ability to use apps for medication doses, searching for relevant studies and evidence based treatments, having the ability to use mood tracking apps with patients. ","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","No WiFi for patients or visitors","","DD9 7QA","The mobile access on site is abysmal and within the grounds of the hospital we do not get mobile data signal on most networks, nor even a cellular connection. 
Despite this, the NHS Tayside wifi signal is readily findable on all mobile devices, but access is not permitted. Managers do have iPad access, but clinicians are tied to physical desktops or a laptop that works in only some areas of the ward. ","2176.98","","","","","","","","","","",""
"1125","2014-09-23 11:37:26","1","en","2014-09-23 11:35:45","2014-09-23 11:37:26","194.176.105.138","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Mental Health","","Administrative Staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","Yes","No","No","","Access to WiFi would have no effect","","I don't need to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","No WiFi for patients or visitors","","ne3 3xt","","101.72","","","","","","","","","","",""
"1124","2014-09-23 11:35:56","1","en","2014-09-23 11:32:58","2014-09-23 11:35:56","82.1.9.31","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Mental Health","","Doctor","","Yes","No","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I don't need to do this","I can do this already","I can do this already","I can do this already","I want to be able to do this","I can do this already","I can do this already","I don't need to do this","No WiFi for patients or visitors","","FY1 6JX","","178.62","","","","","","","","","","",""
"1183","2014-09-24 15:49:38","1","en","2014-09-24 15:46:03","2014-09-24 15:49:38","62.255.241.85","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Nurse","","Yes","No","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi would have no effect","","I can do this already","I don't need to do this","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I can do this already","I can do this already","I don't need to do this","No WiFi for patients or visitors","","RG1 5AN","","215.64","","","","","","","","","","",""
"1122","2014-09-23 10:52:21","1","en","2014-09-23 10:43:22","2014-09-23 10:52:21","82.24.31.110","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","IT Professional","","Yes","No","No","No","No","Yes","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","especially if the network identity was managed centrally by something like Eduroam","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","WiFi for patients and visitors is open but chargeable/non-free","","LE3 9QP","Wifi should be as much part of modern healthcare as handwash has become : it has mutual health benefit in lowering anxiety, increasing access to knowledge and improving understanding","538.87","","","","","","","","","","",""
"1121","2014-09-23 10:01:24","1","en","2014-09-23 09:53:57","2014-09-23 10:01:24","194.176.105.133","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Other","All of these - serve all staff in the Trust","Other","Library staff","Yes","Yes","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","We need to access e-resources on the wards and in other areas where we are able to 'plug in' to the Trust's network.  WiFi enables us to work more efficiently and at the point of need","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","Other","Free WiFi available for visitors; patients don't use our building but would be restricted on some other parts of our site (2 forensic psychiatry facilities)","SO40 2RZ","","446.37","","","","","","","","","","",""
"1120","2014-09-23 09:28:51","1","en","2014-09-23 09:25:37","2014-09-23 09:28:51","194.176.105.150","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Other Clinical staff","","Yes","Yes","No","Yes","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","Some areas of the hospital has low network coverage and therefore when needing to access infomation on your device it is quicker ","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","WiFi for patients and visitors is free with registration","","SL2 4HL","","193.42","","","","","","","","","","",""
"1119","2014-09-23 08:36:38","1","en","2014-09-23 08:32:28","2014-09-23 08:36:38","194.176.105.144","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Primary Care / GP","","Manager/Executive","","Yes","Yes","No","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I don't need to do this","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I can do this already","I don't need to do this","No WiFi for patients or visitors","","st7","Managed by ICT department. connections can be unreliable and ICT the same","248.89","","","","","","","","","","",""
"1118","2014-09-23 01:52:24","1","en","2014-09-23 01:48:51","2014-09-23 01:52:24","92.2.10.81","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Community Services","","Other Clinical staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","I am not sure what effect access to WiFi would have","","","","I can do this already","I can do this already","","","","","","No WiFi for patients or visitors","","","","211.37","","","","","","","","","","",""
"1117","2014-09-22 21:45:22","1","en","2014-09-22 21:43:34","2014-09-22 21:45:22","81.157.35.163","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Community Services","","Manager/Executive","","Yes","No","Yes","No","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I don't need to do this","I can do this already","I can do this already","I want to be able to do this","I don't need to do this","I don't need to do this","I want to be able to do this","I can do this already","Other","Not relevant community trust","","","107.13","","","","","","","","","","",""
"1116","2014-09-22 21:12:16","1","en","2014-09-22 21:09:20","2014-09-22 21:12:16","90.212.87.123","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Mental Health","","Nurse","","Yes","No","Yes","Yes","No","No","No","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I can do this already","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","WiFi for patients and visitors is free with registration","","L134aw","","174.24","","","","","","","","","","",""
"1115","2014-09-22 18:39:25","1","en","2014-09-22 18:36:33","2014-09-22 18:39:24","193.39.159.73","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","IT Professional","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","EH16 4SA","","171","","","","","","","","","","",""
"632","2014-09-19 09:03:05","1","en","2014-09-19 09:02:38","2014-09-19 09:03:05","194.176.105.135","","Other","test","Other","test","Yes","No","No","No","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi would worsen the care I provide","","","","","","","","","I can do this already","","No WiFi for patients or visitors","","","","26.93","","","","","","","","","","",""
"1114","2014-09-22 18:18:13","1","en","2014-09-22 18:14:53","2014-09-22 18:18:13","86.2.214.105","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Nurse","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi would worsen the care I provide","Many staff use apps for clinical decision making - BNF, euroscore, Oxford handbooks. These resources enhance the quality of patient care. ","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","No WiFi for patients or visitors","","Ts4 3bw","","199.69","","","","","","","","","","",""
"1112","2014-09-22 17:29:11","1","en","2014-09-22 17:26:50","2014-09-22 17:29:11","159.86.191.19","http://bawmedical.co.uk/lime/index.php/696915","Secondary Care / Hospital","","Other Clinical staff","","Yes","No","Yes","No","No","No","No","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I want to be able to do this","I can do this already","I can do this already","","","","","I want to be able to do this","WiFi for patients and visitors is free with registration","","cf14 5du","","141.76","","","","","","","","","","",""
"1111","2014-09-22 17:13:56","1","en","2014-09-22 17:07:51","2014-09-22 17:13:56","85.255.235.162","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Other","Commissioning support unit","IT Professional","","Yes","Yes","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi would have no effect","","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","Other","Password but no patients in my place of work","NE15 ","","364.81","","","","","","","","","","",""
"1184","2014-09-24 15:55:24","1","en","2014-09-24 15:52:19","2014-09-24 15:55:24","62.255.241.85","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Manager/Executive","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","RG1 5AN","","184.94","","","","","","","","","","",""
"1199","2014-09-24 16:45:56","1","en","2014-09-24 16:43:08","2014-09-24 16:45:56","94.173.223.19","http://bawmedical.co.uk/lime/index.php/696915/lang-enPlease","Secondary Care / Hospital","","Manager/Executive","","Yes","Yes","No","Yes","No","No","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I don't need to do this","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","WiFi for patients and visitors is free with registration","","SW10 9NH","","167.47","","","","","","","","","","",""
"1109","2014-09-22 16:57:03","1","en","2014-09-22 16:55:23","2014-09-22 16:57:03","194.176.105.150","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","IT Professional","","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I don't need to do this","I can do this already","I don't need to do this","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","WiFi for patients and visitors is free with registration","","","","100.11","","","","","","","","","","",""
"1104","2014-09-22 16:03:57","1","en","2014-09-22 16:01:11","2014-09-22 16:03:57","194.176.105.150","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Manager/Executive","","Yes","No","No","No","No","No","No","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I don't need to do this","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I can do this already","I don't need to do this","I don't need to do this","WiFi for patients and visitors is free with registration","","SL2 4BL","Very slow","165.17","","","","","","","","","","",""
"1103","2014-09-22 15:31:06","1","en","2014-09-22 15:28:45","2014-09-22 15:31:06","194.176.105.141","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Other","Library Manager","Yes","Yes","Yes","Yes","No","Yes","Yes","No","N/A","N/A","N/A","N/A","","I am not sure what effect access to WiFi would have","","I can do this already","I can do this already","I want to be able to do this","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","WiFi for patients and visitors is open but chargeable/non-free","","ba1","","141.31","","","","","","","","","","",""
"659","2014-09-19 09:13:29","1","en","2014-09-19 09:10:31","2014-09-19 09:13:29","194.176.105.141","","Secondary Care / Hospital","","Other Clinical staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","Apparently there is WIFI in our building but it doesn't work at the moment.","I am not sure what effect access to WiFi would have","","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't know","","BA1 3NG","","178.08","","","","","","","","","","",""
"660","2014-09-19 09:22:22","1","en","2014-09-19 09:12:03","2014-09-19 09:22:22","194.176.105.141","","Secondary Care / Hospital","","Manager/Executive","","Yes","No","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I don't need to do this","I can do this already","I can do this already","I can do this already","I want to be able to do this","I can do this already","I can do this already","I don't need to do this","No WiFi for patients or visitors","","PO305TG","Given the very severe state of the Trust's finances I do not think it would be appropriate to offer free wi-fi to patinets & visitors at the moment.  We're bankrupt!","618.76","","","","","","","","","","",""
"662","2014-09-19 09:14:33","1","en","2014-09-19 09:12:39","2014-09-19 09:14:33","194.176.105.138","","Secondary Care / Hospital","","Manager/Executive","","Yes","No","Yes","No","No","No","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","hu3","","113.07","","","","","","","","","","",""
"665","2014-09-19 09:19:20","1","en","2014-09-19 09:13:32","2014-09-19 09:19:20","194.176.105.150","","Secondary Care / Hospital","","Other Clinical staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","There are always problems with getting to a PC when you need one and the use of WIFI one your own mobile device would improve things quite a lot.","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","WiFi for patients and visitors is open but chargeable/non-free","","DE22 3NE","","348.23","","","","","","","","","","",""
"1101","2014-09-22 15:17:06","1","en","2014-09-22 15:14:40","2014-09-22 15:17:06","194.176.105.138","http://bawmedical.co.uk/lime/index.php/696915","Other","corporate services","Administrative Staff","","Yes","No","Yes","No","No","No","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I don't need to do this","I don't need to do this","","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","No WiFi for patients or visitors","","ne3 3xt","","146.27","","","","","","","","","","",""
"671","2014-09-19 09:37:47","1","en","2014-09-19 09:26:17","2014-09-19 09:37:47","194.176.105.150","","Secondary Care / Hospital","","Other","Pathology Staff","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","I am not sure what effect access to WiFi would have","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I want to be able to do this","I don't need to do this","I don't need to do this","No WiFi for patients or visitors","","DE223NE","Free WiFi should be available for everyone (staff & visitors) in all hospitals. My trust has blocked many websites (non-work related) on Trust PCs, but there are times when staff are at work (e.g. before/after shifts or during breaks) when it would be helpful to be able to access these sites. For example, to contact companies that are only open during work hours. The hospital I work in also has virually no phone signal inside the building.","545.26","","","","","","","","","","",""
"672","2014-09-19 09:34:03","1","en","2014-09-19 09:28:54","2014-09-19 09:34:03","81.142.187.13","http://t.co/TxnutVrJfN","Secondary Care / Hospital","","IT Professional","","Yes","Yes","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","I am not sure what effect access to WiFi would have","","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","No WiFi for patients or visitors","","Rh193dz","Free access for guests is in the pipeline but it's a slow process hampered by IG concerns and security concerns. ","309.36","","","","","","","","","","",""
"674","2014-09-19 09:36:41","1","en","2014-09-19 09:32:54","2014-09-19 09:36:41","194.176.105.150","","Secondary Care / Hospital","","Manager/Executive","","Yes","Yes","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","Am not directly involved in providing care, but support staff who are.","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","No WiFi for patients or visitors","","DN2 5LT","I think that the wi-fi access for staff is very good - it is well used within our department.
It would be nice if patients and visitors could be afforded wi-fi access in our Trust.","226.18","","","","","","","","","","",""
"1098","2014-09-22 13:57:03","1","en","2014-09-22 13:55:27","2014-09-22 13:57:03","80.195.100.70","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Other Clinical staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","Yes","No","No","","Access to WiFi would have no effect","","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I don't need to do this","I can do this already","I can do this already","I don't need to do this","WiFi for patients and visitors is free with registration","","BS2 8HW","","96.23","","","","","","","","","","",""
"679","2014-09-19 09:44:05","1","en","2014-09-19 09:39:06","2014-09-19 09:44:05","80.193.83.178","","Secondary Care / Hospital","","Manager/Executive","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","No WiFi for patients or visitors","","BD20 6TD","","299.18","","","","","","","","","","",""
"1096","2014-09-22 13:45:44","1","en","2014-09-22 13:41:56","2014-09-22 13:45:44","Invalid","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","No WiFi for patients or visitors","","S60","I am currently trying to get eduroam via WiFi access for medical students at this hospital","228.75","","","","","","","","","","",""
"687","2014-09-19 10:03:25","1","en","2014-09-19 09:55:33","2014-09-19 10:03:25","86.12.175.98","","Community Services","","Administrative Staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I can do this already","I can do this already","I don't need to do this","","I don't need to do this","I don't need to do this","I want to be able to do this","No WiFi for patients or visitors","","HA8 ","Wifi access is the future must-necessity; I do wonder how long the NHS would be able to resist this facality.","472.98","","","","","","","","","","",""
"1094","2014-09-22 13:12:08","1","en","2014-09-22 13:07:54","2014-09-22 13:12:08","194.176.105.150","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Nurse","","Yes","No","No","Yes","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","enables a quick search when needed","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","WiFi for patients and visitors is free with registration","","SL2 4HL","- it appears to be very slow at times
- enables contact with ""outside world"" for long-term patients","254.52","","","","","","","","","","",""
